brand,share,year,country
Samsung,46.80,2014,Indonesia
Apple,19.80,2014,Indonesia
Lenovo,13.20,2014,Indonesia
BlackBerry,11.20,2014,Indonesia
Nokia,9.00,2014,Indonesia
Samsung,39.50,2015,Indonesia
Apple,22.30,2015,Indonesia
Nokia,9.00,2015,Indonesia
Blackberry,8.50,2015,Indonesia
Lenovo,6.30,2015,Indonesia
Samsung,37.30,2014,Malaysia
Apple,29.80,2014,Malaysia
Nokia,10.30,2014,Malaysia
Sony Ericsson,7.70,2014,Malaysia
Lenovo,5.00,2014,Malaysia
Apple,39.30,2015,Malaysia
Samsung,32.30,2015,Malaysia
Sony Ericsson,10.50,2015,Malaysia
Nokia,8.00,2015,Malaysia
Lenovo,6.50,2015,Malaysia
Samsung,40.20,2014,Philippines
Apple,29.70,2014,Philippines
Sony Ericsson,9.80,2014,Philippines
HTC,7.50,2014,Philippines
Samsung,39.50,2015,Philippines
Apple,30.70,2015,Philippines
Sony Ericsson,6.70,2015,Philippines
HTC,5.50,2015,Philippines
Samsung,37.30,2014,Thailand
Apple,31.20,2014,Thailand
Nokia,7.50,2014,Thailand
Sony Ericsson,4.80,2014,Thailand
HTC,4.50,2014,Thailand
Apple,37.30,2015,Thailand
Samsung,32.70,2015,Thailand
Nokia,5.70,2015,Thailand
Sony Ericsson,3.70,2015,Thailand
HTC,3.50,2015,Thailand
Apple,29.00,2014,Vietnam
Samsung,25.70,2014,Vietnam
Nokia,22.20,2014,Vietnam
HTC,10.20,2014,Vietnam
Sony Ericsson,8.70,2014,Vietnam
Apple,39.50,2015,Vietnam
Samsung,18.30,2015,Vietnam
Nokia,13.50,2015,Vietnam
Sony Ericsson,8.30,2015,Vietnam
HTC,6.80,2015,Vietnam
