country,fertility,year,value,indicator
Philippines,7.00,1960,2060,income
Indonesia,5.50,1960,2500,income
Malaysia,6.80,1960,7760,income
Thailand,6.40,1960,4150,income
Vietnam,6.10,1960,1160,income
Philippines,6.20,1970,2060,income
Indonesia,5.40,1970,2500,income
Malaysia,5.50,1970,7760,income
Thailand,5.30,1970,4150,income
Vietnam,5.90,1970,1160,income
Philippines,5.20,1980,2060,income
Indonesia,4.40,1980,2500,income
Malaysia,5.20,1980,7760,income
Thailand,3.20,1980,4150,income
Vietnam,5.00,1980,1160,income
Philippines,4.30,1990,2060,income
Indonesia,3.10,1990,2500,income
Malaysia,3.70,1990,7760,income
Thailand,2.10,1990,4150,income
Vietnam,3.60,1990,1160,income
Philippines,3.60,2000,2060,income
Indonesia,2.40,2000,2500,income
Malaysia,3.00,2000,7760,income
Thailand,1.90,2000,4150,income
Vietnam,2.90,2000,1160,income
Philippines,3.30,2006,2060,income
Indonesia,2.20,2006,2500,income
Malaysia,2.70,2006,7760,income
Thailand,1.90,2006,4150,income
Vietnam,2.10,2006,1160,income
Philippines,3.00,2013,2060,income
Indonesia,2.30,2013,2500,income
Malaysia,2.00,2013,7760,income
Thailand,1.40,2013,4150,income
Vietnam,1.70,2013,1160,income
Philippines,7.00,1960,26.50,poverty
Indonesia,5.50,1960,12.50,poverty
Malaysia,6.80,1960,3.80,poverty
Thailand,6.40,1960,7.80,poverty
Vietnam,6.10,1960,14.50,poverty
Philippines,6.20,1970,26.50,poverty
Indonesia,5.40,1970,12.50,poverty
Malaysia,5.50,1970,3.80,poverty
Thailand,5.30,1970,7.80,poverty
Vietnam,5.90,1970,14.50,poverty
Philippines,5.20,1980,26.50,poverty
Indonesia,4.40,1980,12.50,poverty
Malaysia,5.20,1980,3.80,poverty
Thailand,3.20,1980,7.80,poverty
Vietnam,5.00,1980,14.50,poverty
Philippines,4.30,1990,26.50,poverty
Indonesia,3.10,1990,12.50,poverty
Malaysia,3.70,1990,3.80,poverty
Thailand,2.10,1990,7.80,poverty
Vietnam,3.60,1990,14.50,poverty
Philippines,3.60,2000,26.50,poverty
Indonesia,2.40,2000,12.50,poverty
Malaysia,3.00,2000,3.80,poverty
Thailand,1.90,2000,7.80,poverty
Vietnam,2.90,2000,14.50,poverty
Philippines,3.30,2006,26.50,poverty
Indonesia,2.20,2006,12.50,poverty
Malaysia,2.70,2006,3.80,poverty
Thailand,1.90,2006,7.80,poverty
Vietnam,2.10,2006,14.50,poverty
Philippines,3.00,2013,26.50,poverty
Indonesia,2.30,2013,12.50,poverty
Malaysia,2.00,2013,3.80,poverty
Thailand,1.40,2013,7.80,poverty
Vietnam,1.70,2013,14.50,poverty
