project,cost,status
MRT Line-7 Project,69.3,Pre-construction
LRT Line-1 Extension Project,64.9,Pre-construction
Manila Skyway Stage 3 Project,37.4,Under construction
Cavite-Laguna Expressway Project,35.4,Pre-construction
Bulacan Bulk Water Project,24.4,Pre-construction
NAIA Expressway Project,17.9,Under construction
Mactan-Cebu International Airport Terminal Building,17.5,Under construction
PPP for School Infrastructure Project Phase 1,9.9,Completed/operational
South Integrated Transportation Project,5.2,Pre-construction
PPP for School Infrastructure Project Phase 2,3.9,Under construction
Southwest Integrated Transportation Project,2.5,Pre-construction
Daanga Hari-SLEX Road Project,2.2,Completed/operational
Automatic Fare Collection System,1.7,Completed/operational
